LU,YR_BUILT,GROSS_TAX
RC,1940,464969
R2,1899,409978
C,1950,1300572
CL,0,65520
R1,1910,249633
R1,1915,254559
C,1899,220500
R3,1900,446238
R1,1925,288934
R2,1925,367953
RC,1925,458052
CL,0,150696
CL,0,117936
R2,2007,448020
R3,1910,558165
R1,1905,346364
C,1910,1050840
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,,0
E,,0
E,0,0
E,0,0
R2,1880,482709
R1,1915,263153
R1,1900,344373
RL,0,41606
R1,1900,302348
R2,1900,472124
R3,1900,540768
R1,1900,317230
R3,1900,516036
R3,1900,558584
R1,1900,377071
R1,1900,354958
R1,1900,339028
R1,1900,325404
R1,1876,296898
R1,1900,250891
E,0,0
RL,0,39929
E,0,0
E,1915,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,1996,0
E,1899,0
R2,1905,416790
RL,0,35213
R2,1905,422240
R2,1905,410292
R2,1905,395620
R2,1905,499278
RL,0,22113
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
E,0,0
CL,0,149436
CL,0,21566160
E,0,0
E,0,0
CL,0,157752
E,0,0
C,,1668240
C,1960,30150540
E,,0
E,0,0
C,1979,6596100
I,0,4899888
E,0,0
E,,0
I,1965,1109052
I,,4406724
E,,0
I,,3062808
R1,1890,259275
R3,1900,504612
R3,1905,467408
R3,1900,451793
R2,2003,444352
R3,1900,464474
R3,1900,491407
R3,1900,604172
R3,1899,583212
R3,1900,538462
R3,1905,511005
R3,1900,491827
R3,1910,414170
RC,1910,789015
R3,1890,530708
R1,1900,242926
R2,1916,342277
R1,1900,273109
R2,1900,362398
C,1960,2504880
C,1964,1671264
I,,10362744
C,1950,810180
RC,1900,584337
C,1950,880740
C,1920,171360
C,1903,2228940
RC,1920,1049123
RC,1920,1063410
RC,1910,684028
R3,1900,497800
RC,1899,564710
RC,1910,977865
RC,1910,977865
RC,1900,644678
CL,0,109368
CL,0,109368
CL,0,116928
C,1970,4770360
C,1905,2067660
C,1905,2067660
C,1930,1319220
E,,0
CL,0,2746800
R2,1880,418257
C,1935,133560
R2,1900,319745
RL,0,3773
RL,0,1467
RL,0,629
RL,0,524
C,1960,391860
E,0,0
RL,0,28401
R2,2014,374450
R2,1910,412074
E,0,0
R2,1910,484386
R1,1910,269965
R1,1899,289248
R1,1910,213268
CL,0,96768
R2,1910,399708
R1,1900,273318
C,1910,389340
C,1930,3340260
C,2014,67320540
E,0,0
RL,0,140642
R2,1900,467303
RL,0,31335
CL,0,260064
RC,1950,2032725
R3,1915,611194
R4,1900,977784
RC,1899,400149
I,1965,1412460
A,1967,40619432
CM,1960,0
CD,1960,349613
CD,1960,429471
CD,1960,325300
CD,1960,437645
CD,1960,356949
CD,1960,339238
CD,1960,453051
CD,1960,456719
CD,1960,440894
CD,1960,416895
CD,1960,357054
CD,1960,282134
CD,1960,528612
CD,1960,374870
CD,1960,373088
CD,1960,413646
CD,1960,264724
CD,1960,459548
CD,1960,361980
CD,1960,441627
CD,1960,403585
R2,1910,419305
R2,1910,443933
R2,1910,406939
R2,1910,422973
R2,1910,481137
R2,1910,392371
R2,1921,343430
R2,1910,372774
RL,0,20017
R3,1940,507337
R3,1940,490883
R3,1940,448544
C,1960,1252440
C,1950,56524860
C,1972,130552380
CL,0,1888740
CL,0,803376
CL,0,10820628
C,1986,24237360
RL,0,19702
R3,1920,503669
R4,1910,717356
R2,1910,375079
R2,1900,375708
R2,1910,342277
R1,1916,221128
C,1930,501480
E,0,0
R1,1910,361770
RL,0,63404
R2,1910,563405
R1,1920,287362
R1,1910,245441
R1,1910,268392
CM,0,0
CD,2016,484596
CD,2016,484596
CL,,138560
R1,1910,299938
R1,1910,278244
RL,0,35318
R2,1910,401489
R3,1927,507652
R3,1910,484596
RL,0,145358
R1,1930,324985
R2,1910,524524
R2,1910,519599
R2,1910,518132
R2,1910,495180
R1,1900,424021
R2,1910,353071
R2,1910,402327
R2,1910,504717
R2,1900,492456
RL,0,32383
R2,1910,579020
R3,1918,502516
R3,1918,507337
R3,1918,495599
R2,1900,329177
R2,1910,350032
R1,1910,264724
R2,1910,464264
R2,1910,384826
R2,1899,406415
C,0,1067220
C,1940,1559880
C,1960,553644
R1,1900,269860
C,1960,516600
CM,1999,0
CD,1985,333264
CD,1985,327500
R1,1998,383673
R4,1900,705828
CM,2003,0
CD,2003,404948
CD,2003,409664
R2,1990,577658
R1,1905,356320
RL,0,121673
R1,1920,350661
R1,1915,340705
R2,1890,521380
C,1975,504000
C,1950,1530900
CL,0,208366
C,1930,1406820
E,1933,0
R3,1939,469714
R3,1920,531232
R3,1910,427480
R2,1910,404528
R3,1910,565501
R2,1910,494866
R3,1920,560680
R3,1910,582164
R2,1890,490674
R2,1900,552925
R2,1900,404424
R2,1925,456300
R1,1925,452422
R3,1910,678538
R3,1910,538882
R1,1900,348565
R2,1925,685916
R1,1900,382940
R2,1905,437226
R2,1905,451479
R2,1900,437540
R2,1900,412179
R3,1910,417524
CM,1905,0
CD,2016,373193
CD,2016,381787
CD,2016,394992
R2,1900,546323
RL,0,114546
R2,1900,618006
R3,1905,485015
R1,1890,438693
R2,1900,530184
R3,1900,536052
R3,1900,491826
R3,1911,505241
R3,1870,605220
R3,1900,484805
R3,1900,485853
R3,1900,468561
R3,1900,502831
R2,1900,349928
R3,1899,493818
R2,1900,388179
R1,1900,278663
R1,1900,295012
R2,1900,397821
R2,1900,400651
R2,1900,409139
R2,1899,415218
R3,1930,523686
R2,1899,417838
R2,1870,391952
RL,0,16873
RL,0,16873
RL,0,33850
R3,1910,565082
R3,1900,445924
R2,1918,434501
R2,1918,463635
R2,1918,419724
R2,1918,464159
R2,1918,432300
R2,1906,471600
R2,1918,432195
R2,1918,461120
R2,1906,513101
R2,1918,439532
R2,1900,454204
RL,0,23475
RL,0,18235
E,1903,0
R3,1910,581116
R1,1910,331064
R3,1900,458605
R3,1910,750997
RL,0,22846
R1,1910,336618
R3,1910,666843
R3,1910,739259
R2,2006,640224
R1,1910,450116
R1,2007,500840
R3,1910,515931
R3,1910,693462
R3,1894,406310
R3,1920,461435
R2,1910,417419
R2,1910,556278
R2,1910,539196
R3,1910,591282
R3,1899,714946
R2,1910,449802
R2,1910,416370
RL,0,32278
R1,1900,321108
R2,1910,522533
R1,1910,300043
R1,1910,331483
R1,1975,355587
R1,1847,341334
R1,1910,384197
R2,1910,554078
R1,1910,302348
R1,1910,284951
R1,1910,308217
R1,1910,232761
R1,1910,357578
R1,2016,532070
R3,1910,808742
R1,1910,337876
R3,1900,630477
R3,1910,517608
R2,1910,469819
R1,1910,309265
R2,1910,472334
R1,1910,338609
R2,1950,480613
R3,1910,504926
R1,1910,364913
A,1910,1386504
R2,1900,453365
RL,0,17082
R3,1910,535738
R2,1910,468561
RC,1945,823821
R2,1950,479775
R1,1910,247223
R1,1910,262419
R2,1910,400965
R1,1910,420563
R2,1875,541816
R1,1910,336618
R1,1900,325509
R2,1910,437960
R3,1910,489521
R4,1910,658144
RL,0,35527
RL,0,35318
R3,1910,477259
R4,1925,1447288
C,,650679
C,1960,511041
R1,1910,201216
R3,1900,571160
R2,1910,537414
R3,1910,528821
RL,0,34479
R2,1905,392790
R1,1910,341753
R2,1910,518865
R1,1910,337456
R1,1910,385245
R3,1905,426117
R1,1910,284532
R3,1910,511676
R3,1960,511676
R4,1925,705828
RL,0,24733
RL,0,158353
RL,0,108992
RL,0,108992
R2,1900,413646
R2,1890,392162
R2,1890,413332
R3,1899,477888
R2,1890,467408
R2,1890,418257
R2,1890,377595
R2,1890,420982
R2,1900,382101
R2,1890,291973
R1,1890,208133
E,0,0
E,0,0
E,0,0
RL,0,3354
RL,0,3563
RL,0,17921
RL,0,21484
RL,0,25990
R3,1900,476526
R3,1910,426850
R2,1920,501573
R3,1890,508490
E,1900,0
E,0,0
R3,1900,448649
R3,1900,440998
R1,1900,248690
RL,0,32593
R3,1900,438169
R3,1900,506918
R3,1899,461330
R1,1900,309579
R2,1900,398450
R2,1900,471600
R3,1900,513101
C,1960,549360
R2,1900,502097
R1,1900,301196
R2,1900,413541
R2,1900,445610
R3,1890,509957
R1,1900,299728
R3,1890,507861
R3,1890,441732
R3,2016,609412
R3,1900,609412
R1,1900,325509
R2,1900,427270
R1,1900,207504
R1,1890,338190
R1,1900,289982
R2,1900,392581
R2,1900,346469
R1,1910,255293
R2,1900,427060
R2,1900,418781
RL,0,27248
R1,1910,343534
C,2008,6032880
R1,1890,308741
R2,1880,349089
R2,1900,489626
R1,1910,262629
R1,1910,315658
R1,1900,344897
R3,1890,330120
R3,1890,530393
R3,1890,444562
R3,1890,507128
C,1920,636300
C,1925,953820
R1,1910,238944
R2,1900,315763
R1,1910,270174
C,1978,457884
R3,1900,595474
R3,1900,540139
R3,1930,504717
R3,1900,553030
R3,1940,628276
R3,1890,533013
R4,1899,839448
R1,1890,333684
R2,1890,501678
R2,1905,566025
R2,1900,456509
R2,1900,461854
R2,1925,429470
RC,1899,782557
R1,1900,353596
R1,1910,313457
RL,0,37728
R2,1910,443514
R1,2003,527773
R1,1910,312724
CM,2009,0
CD,2010,398240
CD,2010,470552
R1,1910,351185
R2,1910,474954
R1,1910,406519
R2,1899,546428
R3,1900,539196
R3,1900,629953
R3,1900,516664
R3,1900,649655
R3,1900,587614
R3,1900,715051
C,1925,483840
RC,1920,881431
R2,1900,431776
CM,1940,0
CD,1940,342068
CD,1940,345421
R2,1900,434396
RC,1900,456178
R1,1910,229198
R1,1890,324042
R2,1900,441208
R2,1922,474954
R3,1900,573780
R2,1900,520647
R2,1890,416895
R3,1890,426222
R3,1900,507442
R3,1900,483548
CM,1890,0
CD,1900,317649
CD,1900,335360
CM,1900,0
CD,1900,394153
CD,1900,412808
R2,1900,439427
R2,1900,491408
E,1899,0
E,1899,0
E,0,0
E,1899,0
R1,1900,270489
R2,1912,398555
R2,1900,385350
R2,1900,482814
R2,1900,494971
R2,1900,499477
RL,0,111507
R2,1900,468561
R2,1910,447706
RL,0,115070
R1,1900,258437
R1,1966,339867
R2,1890,433663
R2,1890,409139
E,1909,0
CM,1999,0
CM,1999,0
CD,1988,313667
CD,1988,303187
CD,1988,310104
CD,1988,315867
CD,1988,402118
CD,1988,311571
CD,1988,376756
R2,1900,511948
R1,2012,616224
R3,1900,610879
R2,1900,437226
R3,1918,535319
R1,1900,269756
RL,0,2096
E,0,0
R3,1839,557956
C,1920,233100
C,1910,485100
CM,1900,0
CD,1900,344897
CD,1900,344373
CD,1900,361246
CM,1900,0
CD,2015,334836
CD,2015,325090
CD,2015,336513
R1,1900,311361
R1,1910,252568
R1,1900,365124
R1,1900,295012
R2,1900,448544
C,1972,1879920
R3,1910,436597
R3,1910,463426
R2,1910,385979
R1,1910,512263
R2,1910,400546
R1,1900,306121
R3,1910,436073
R2,1910,458605
R1,1970,303920
R2,1910,443409
RC,1910,669239
C,1932,331380
R3,1900,463112
R3,1900,539930
R3,1900,461959
R3,1900,440894
R3,1900,415113
E,1965,0
E,1899,0
R3,1910,660450
R3,1910,525887
R3,1910,505974
R2,1875,615071
R3,1910,506184
R3,1925,492980
R3,1910,481347
RL,0,524
E,1899,0
E,0,0
CM,2006,0
CD,2006,388075
CD,2006,384302
CD,2006,369106
CD,2006,388179
CD,2006,384721
CD,2006,385769
CD,2006,386922
CD,2006,383463
CD,2006,384511
R3,1910,516560
R1,1938,393629
R3,1910,448020
R3,1910,462378
R1,1910,239573
R1,1890,287781
RL,0,15930
R2,1910,440580
RL,0,17502
R3,1899,591072
RL,0,1572
R3,1920,553135
R3,1910,492141
R3,1910,534166
R3,1910,564662
R3,1910,701008
R3,1910,538043
R3,1910,524734
R3,1910,565606
R3,1910,542969
E,0,0
CM,2006,0
CD,2006,387236
CD,2006,391428
CD,2006,415008
CM,2006,0
CD,2006,392267
CD,2006,396564
CD,2006,396563
CM,2006,0
CD,2006,395201
CD,2006,408930
CD,2006,409664
CM,2006,0
CD,2006,315658
CD,2006,477155
R1,1914,296165
R2,1910,409873
R2,1910,408510
R3,1900,557117
R3,1900,654790
R3,1900,442885
R3,1900,578077
R3,1900,463636
R3,1910,489416
R3,1900,443618
R3,1900,526201
RL,0,2515
R2,1900,470971
R2,1900,437540
R4,1910,835780
R4,1900,677008
R2,1900,438588
CM,1900,0
CD,1900,427794
CD,1900,432405
CD,1900,439636
CM,2007,0
CD,2007,437121
CD,2007,384931
CD,2007,459444
CM,1900,0
CD,1900,305702
CD,1900,311466
CD,1900,312095
R3,1900,491826
R3,1915,497381
R3,1900,464893
R3,1900,578915
R3,1900,434606
R3,1900,463112
CM,1900,0
CD,1900,286000
CD,1900,309370
CD,1900,278454
CD,1900,325928
R1,1960,366905
R2,1960,465103
R1,1920,257808
R1,1900,215469
R1,1900,214944
R1,1900,224587
R1,1900,284218
R1,1900,265878
R3,1900,508385
R2,1900,561204
RL,0,103752
RL,0,29554
R2,1900,405367
R2,1900,371831
R1,1900,212116
R2,1910,493818
R2,1900,549257
R1,1918,269860
CM,2012,0
CD,2013,398136
CD,2012,512891
R1,1920,270803
R2,1900,438274
R2,1900,431462
R2,1899,400022
R2,1900,436597
R2,1900,456718
R3,1900,663175
R4,1900,737268
R1,1900,270384
R3,1900,513520
R3,1916,581955
R3,1900,562042
R3,1900,615176
R3,1913,604172
RL,0,143471
C,1989,1530900
C,1950,1043280
R3,1910,583212
R3,1900,556803
R3,1900,612661
R3,1900,581116
R3,1900,531965
R3,1900,558794
R3,1913,588767
R3,1905,599037
RC,1920,603314
A,1960,3000424
R3,1905,643682
R2,1910,584470
R2,1930,715889
R2,1912,545904
R1,1920,436912
R3,1905,578601
