LU,YR_BUILT,GROSS_TAX
CD,1899,597151
CD,1899,918572
CD,1899,634962
CD,1899,662053
CD,1899,603260
CD,1899,600725
CD,1899,595767
CD,1899,998325
CD,1899,595767
CD,1899,1290214
CD,1899,536974
CD,1899,640842
CD,1899,880949
CD,1899,584701
CD,1899,1220124
CD,1899,604874
CD,1899,742980
CD,1899,1200589
CD,1899,538358
CD,1899,1529498
CD,1899,1219956
CM,1999,0
CC,0,476280
CC,0,895860
CC,0,846720
CC,0,800100
CC,0,800100
CC,0,800100
CC,0,800100
CC,0,1193220
C,1899,25096680
CM,1999,0
CC,0,768600
CC,0,1068480
CC,0,1089900
CC,0,1099980
CC,0,1160460
CC,0,960120
CC,0,871920
CC,0,792540
C,1899,10634400
E,0,0
CM,1899,0
CC,0,3672900
CD,1899,1654688
CD,1899,1940477
CD,1899,2013313
CD,1899,1873615
CD,1899,1657098
CD,1899,1939639
CD,1899,1896775
CD,1899,1939639
CL,0,612360
CL,0,418824
CM,1999,0
CC,0,916020
CC,0,1117620
CC,0,2353680
CD,1900,815658
CC,0,912240
CD,1900,728989
CD,1900,799205
CD,1900,870364
CD,1900,840287
E,0,0
CD,1900,765250
CD,1900,756446
CD,1900,724483
CD,1900,756447
CD,1900,777721
CD,1900,871622
CD,1900,763782
RC,1899,5299476
CM,1999,0
CC,0,1355760
CC,0,1237320
CC,0,747180
CC,0,830340
CC,0,771120
CC,0,847980
CC,0,777420
CC,0,847980
CC,0,777420
CC,0,850500
CC,0,778680
CC,0,847980
CC,0,883260
CM,1999,0
CC,0,2131920
CC,0,1926540
CD,1899,565920
CD,1899,815868
CD,1899,516874
CD,1899,682038
CD,1905,812934
CD,1899,663489
CD,1899,712116
CD,1899,813038
CD,1899,658459
CD,1899,711802
CD,1899,812305
CD,1899,658458
CD,1899,695977
CD,1899,944877
CD,1899,667891
CM,1999,0
CD,1899,1426433
CD,1899,783380
CD,1899,880320
CD,1899,822366
CD,1899,905891
CD,1899,806436
CD,1899,908092
CD,1899,815135
CD,1899,883988
CD,1899,803711
CC,0,1127700
CC,0,895860
CC,0,1309140
C,1899,53657100
C,1976,798572880
EA,0,0
E,0,0
E,2003,0
E,0,0
E,0,0
C,1899,59605560
E,1994,0
I,,802620
C,1899,4343472
I,0,5483228
I,1996,10806808
C,1969,755089020
C,1930,48667500
CM,1999,0
CC,0,1064700
CC,0,3810240
CC,0,8302140
CC,0,12513060
CC,0,19010880
CC,0,19138140
CC,0,19131840
CC,0,19149480
CC,0,19112940
CC,0,19129320
CC,0,19117980
CC,0,19090260
CC,0,17728200
CC,0,17341380
CC,0,10533600
CC,0,10275300
CC,0,10286640
CC,0,10571400
CC,0,4905180
CC,0,4847220
CC,0,4868640
CC,0,4853520
CC,0,4963140
CC,0,2753100
CC,0,2836260
CC,0,2131920
CC,0,1484280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
CC,0,161280
C,1970,551837160
C,1971,1352291220
I,1910,36207360
C,1899,12815460
CM,0,0
CC,0,5966100
C,1899,2998800
I,1899,2769480
I,1899,5454540
RC,1899,2388491
C,1899,4232340
C,1899,6949908
RC,1910,5187005
RC,1930,3911889
RC,1925,3911889
RC,1925,3911889
C,0,1363431
RC,1910,1412918
RC,1910,1412918
RC,1910,1596623
RC,1910,1412918
RC,1910,1412918
C,1910,4146660
RC,1910,1851207
A,0,605941
A,0,1203523
I,1899,13606740
CM,1900,0
CC,0,10242540
A,1920,11079980
A,0,1364221
A,2014,625315
I,1983,325080
CL,0,2551500
RC,,855872
C,1915,3742200
RC,1899,1990052
RC,1899,1681966
RC,1899,2147113
RC,1899,1899218
RC,1899,1659727
CM,1899,0
CC,0,1214640
CC,0,362880
CC,0,347760
CC,0,223020
CC,0,107100
CC,0,1563660
CC,0,268380
CC,0,163800
CC,0,165060
CC,0,316260
CC,0,200340
CC,0,204120
CC,0,114660
CD,1899,384406
CD,1899,480194
CD,1899,444562
CD,1899,476421
CD,2006,423602
CD,1899,480194
CD,1899,303396
CD,1899,476421
CD,1899,341229
CD,1899,480194
CD,1899,444247
CD,1899,476421
CD,1899,465941
CD,1899,498743
CD,1899,461539
CD,1899,495599
CD,1899,438483
CD,1899,498743
CD,2006,461540
CD,1899,495914
CD,1899,465941
CD,1899,498744
CD,1899,461539
CD,1899,493294
CD,1899,438483
CD,1899,499582
CD,1899,444247
CD,1899,493608
CD,1899,509538
CD,1899,570426
CD,1899,540664
CD,1899,584050
RC,1899,5526156
CM,1899,0
CC,0,1340640
CD,1899,503355
CD,1899,503983
CD,1899,505346
CD,1899,994238
RC,1899,3430983
R4,1899,632992
R4,1899,632992
R4,1900,632992
R4,1900,632992
R4,1900,632992
R4,1899,632992
RC,1900,697182
R3,1900,512158
CM,1899,0
RC,2016,3364604
CC,2016,1407420
CC,2016,1537200
CC,2016,1325520
CC,2016,3821580
CC,2016,4287780
CC,2016,4314240
CC,2016,2979900
CC,2016,2992500
CC,2016,1089900
EA,1899,0
EA,0,0
EA,0,0
C,1899,145570320
E,0,0
E,0,0
CM,2012,0
CC,0,14124600
CD,2013,1487636
CD,2013,2340394
CD,2013,1532176
CD,2013,749215
CD,2013,773110
CD,2013,743242
CD,2013,1208135
CD,2013,1644941
CD,2013,1718091
CD,2013,1179105
CD,2013,713269
CD,2013,1075248
CD,2013,1155315
CD,2013,1177428
CD,2013,1777513
CD,2013,1079126
CD,2013,771852
CD,2013,773843
CD,2013,835151
CD,2013,763678
CD,2013,1532176
CD,2013,2340498
CD,2013,1500422
CD,2013,760848
CD,2013,834837
CD,2013,750159
CD,2013,1237059
CD,2013,1577240
CD,2013,1718091
CD,2013,1190738
CD,2013,719662
CD,2013,1181830
CD,2013,1155734
CD,2013,1177847
CD,2013,1974851
CD,2013,1204467
CD,2013,777721
CD,2013,780131
CD,2013,754246
CD,2013,739888
CD,2013,1532386
CD,2013,2340604
CD,2013,1500317
CD,2013,768394
CD,2013,763888
CD,2013,767031
CD,2013,1237164
CD,2013,1577240
CD,2013,1718092
CD,2013,1127648
CD,2013,739154
CD,2013,1138443
CD,2013,1156154
CD,2013,1178266
CD,2013,1999584
CD,2013,1204676
CD,2013,802454
CD,2013,780131
CD,2013,754246
CD,2013,739888
CD,2013,1532491
CD,2013,2373196
CD,2013,1500317
CD,2013,767974
CD,2013,797738
CD,2013,801406
CD,2013,1237164
CD,2013,1562149
CD,2013,1718196
CD,2013,1131421
CD,2013,751521
CD,2013,1145569
CD,2013,1156573
CD,2013,1178686
CD,2013,2004614
CD,2013,1223121
CD,2013,840706
CD,2013,780131
CD,2013,844584
CD,2013,739888
CD,2013,1532596
CD,2013,2397824
CD,2013,1391849
CD,2013,785371
CD,2013,781808
CD,2013,795118
CD,2013,1237164
CD,2013,1581746
CD,2013,1965944
CD,2013,1219453
CD,2013,751521
CD,2013,1183088
CD,2013,1156992
CD,2013,1179000
CD,2013,2045172
CD,2013,1258543
CD,2013,746281
CD,2013,838820
CD,2013,754246
CD,2013,739888
CD,2013,1565502
CD,2013,2429054
CD,2013,1515094
CD,2013,811047
CD,2013,810942
CD,2013,834732
CD,2013,1349196
CD,2013,1581746
CD,2013,1718091
CD,2013,1259696
CD,2013,762315
CD,2013,1193148
CD,2013,1178057
CD,2013,1189166
CD,2013,2071896
CD,2013,1230876
CD,2013,746281
CD,2013,915428
CD,2013,754246
CD,2013,835361
CD,2013,1681097
CD,2013,2448443
CD,2013,1532071
CD,2013,795222
CD,2013,797842
CD,2013,832007
CD,2013,1352654
CD,2013,1637500
CD,2013,1718092
CD,2013,1134460
CD,2013,847098
CD,2013,1215785
CD,2013,1181830
CD,2013,1211698
CD,2013,2107843
CD,2013,1272063
CD,2013,746281
CD,2013,780132
CD,2013,844583
CD,2013,776149
CD,2013,1588978
CD,2013,2469088
CD,2013,1621047
CD,2013,1355588
CD,2013,1376338
CD,2013,1352758
CD,2013,1728571
CD,2013,2009959
CD,2013,1840393
CD,2013,1684241
CD,2013,1198493
CD,2013,1220396
CD,2013,2125240
CD,2013,1276884
CD,2013,1384513
CD,2013,1258963
CD,2013,776149
CD,2013,1671875
CD,2013,2500319
CD,2013,1664119
CD,2013,1310734
CD,2013,1407464
CD,2013,1373718
CD,2013,1673866
CD,2013,2065189
CD,2013,1866907
CD,2013,1708764
CD,2013,1220396
CD,2013,1242719
CD,2013,2208765
CD,2013,1297005
CD,2013,1332218
CD,2013,1244919
CD,2013,875919
CD,2013,1637815
CD,2013,2533435
CD,2013,1673132
CD,2013,1338296
CD,2013,1417734
CD,2013,1374243
CD,2013,1708660
CD,2013,2065189
CD,2013,1867012
CD,2013,1708869
CD,2013,1244605
CD,2013,1267032
CD,2013,2205097
CD,2013,1347100
CD,2013,1426014
CD,2013,1264412
CD,2013,791764
CD,2013,1673237
CD,2013,2501681
CD,2013,1673132
CD,2013,1444564
CD,2013,1448232
CD,2013,1454519
CD,2013,1699856
CD,2013,2065189
CD,2013,1855274
CD,2013,1699856
CD,2013,1287363
CD,2013,1299310
CD,2013,2166111
CD,2013,1347414
CD,2013,1439638
CD,2013,1250159
CD,2013,825090
CD,2013,1631002
CD,2013,2506711
CD,2013,1673342
CD,2013,1389858
CD,2013,1470344
CD,2013,1401490
CD,2013,1699542
CD,2013,2065189
CD,2013,1855275
CD,2013,1699751
CD,2013,1291975
CD,2013,1343536
CD,2013,2097887
CD,2013,1373194
CD,2013,1556804
CD,2013,1306227
CD,2013,824881
CD,2013,1733183
CD,2013,2709604
CD,2013,1826350
CD,2013,1424966
CD,2013,1614234
CD,2013,1526936
CD,2013,1826874
CD,2013,2209813
CD,2013,2028300
CD,2013,1827293
CD,2013,1380007
CD,2013,1405368
CD,2013,2282964
CD,2013,1511216
CD,2013,1623457
CD,2013,1429787
CD,2013,852129
CD,2013,1955987
CD,2013,3634988
CD,2013,3278982
CD,2013,3215788
CD,2013,2856010
CD,2013,2842072
CD,2013,1643683
CD,2013,4363453
CD,2013,3614657
CD,2013,2879590
CD,2013,2086882
CD,2013,1590236
CD,2013,1619684
CD,2013,3605539
EA,1984,0
EA,1984,0
C,1984,351749160
EA,0,0
C,1910,49231980
CM,1999,0
CC,0,2385180
E,0,0
CC,0,1479240
CC,0,3565800
RC,1935,6783319
C,1899,37647540
E,1899,0
E,,0
E,0,0
C,1899,3161340
E,,0
C,0,2109240
I,1987,54884592
C,1978,561547443
C,1958,11869737
E,1899,0
CM,1899,0
CC,0,1242360
CC,0,636300
CD,1899,1516771
CD,1899,351185
CD,1899,308949
CD,1899,482185
CD,1899,355587
CD,1899,498848
CD,1899,553344
CD,1899,493503
CD,1899,349823
CD,1899,458710
CD,1890,534166
CD,1899,487844
CD,1899,447601
CD,1899,1294804
CD,1899,799939
CD,1899,1238841
CD,1899,796795
CD,1899,1894260
CD,1899,957139
CD,1899,796795
CD,1899,1720397
C,1899,74332440
C,1977,113875020
C,,13074781
C,1905,24812159
C,1899,5535180
E,1899,0
C,0,5367600
CM,1999,0
CC,0,593460
CC,0,94500
CC,0,23940
CC,0,1791720
CC,0,890820
CC,0,895860
CC,0,895860
CC,0,895860
CM,1999,0
CC,0,1624140
CD,1890,825719
CD,1890,1348462
CD,1890,794384
CD,1900,1623142
C,0,972720
E,1899,0
CM,1999,0
CC,0,703080
CC,0,703080
CC,0,703080
CC,0,703080
CC,0,1568700
RC,1899,1950871
CL,0,70056
C,1910,2087820
C,1877,17141040
C,1987,16461900
C,1986,220188740
C,1899,32743620
RC,1920,1634661
RC,,2099998
C,,36112903
E,2016,0
RL,0,76609
CM,2013,0
CD,2016,1180493
CD,2016,840386
CD,2016,1611854
CD,2016,1664362
CD,2016,1375290
CD,2016,994373
CD,2016,1592960
CD,2016,2059827
CD,2016,802979
CD,2016,798424
CD,2016,828003
CD,2016,891898
CD,2016,835710
CD,2016,913599
CD,2016,849232
CD,2016,1646148
CD,2016,1700942
CD,2016,1396879
CD,2016,1087824
CD,2016,1675542
CD,2016,1779693
CD,2016,830045
CD,2016,929890
CD,2016,838484
CD,2016,902034
CD,2016,844893
CD,2016,1026516
CD,2016,884617
CD,2016,1714738
CD,2016,1719232
CD,2016,1494661
CD,2016,912481
CD,2016,1457722
CD,2016,1684010
CD,2016,1056545
CD,2016,826604
CD,2016,848965
CD,2016,1206090
CD,2016,844893
CD,2016,934130
CD,2016,884617
CD,2016,1714738
CD,2016,1755811
CD,2016,1313066
CD,2016,1002726
CD,2016,1474477
CD,2016,1741420
CD,2016,902223
CD,2016,864177
CD,2016,922332
CD,2016,922304
CD,2016,872444
CD,2016,944395
CD,2016,884617
CD,2016,1714738
CD,2016,1828970
CD,2016,1327035
CD,2016,1086680
CD,2016,1487875
CD,2016,1913648
CD,2016,902223
CD,2016,873570
CD,2016,922332
CD,2016,932439
CD,2016,881628
CD,2016,954660
CD,2016,884617
CD,2016,1714738
CD,2016,1828970
CD,2016,1690224
CD,2016,1006185
CD,2016,1554746
CD,2016,1913648
CD,2016,902223
CD,2016,882963
CD,2016,932813
CD,2016,952710
CD,2016,918362
CD,2016,1026516
CD,2016,884617
CD,2016,1714738
CD,2016,1828970
CD,2016,1396879
CD,2016,1006185
CD,2016,1571463
CD,2016,1741420
CD,2016,902223
CD,2016,892356
CD,2016,964256
CD,2016,1013521
CD,2016,918362
CD,2016,1026516
CD,2016,884617
CD,2016,1714738
CD,2016,1828970
CD,2016,1311677
CD,2016,1006185
CD,2016,1588181
CD,2016,2047603
CD,2016,902223
CD,2016,882963
CD,2016,964257
CD,2016,1013521
CD,2016,918362
CD,2016,1355002
CD,2016,955386
CD,2016,2606402
CD,2016,1993577
CD,2016,1732130
CD,2016,1006185
CD,2016,1604899
CD,2016,1741420
CD,2016,902223
CD,2016,939322
CD,2016,974738
CD,2016,1013521
CD,2016,844893
CD,2016,1283145
CD,2016,964232
CD,2016,1851917
CD,2016,2048446
CD,2016,1550536
CD,2016,1006185
CD,2016,1671770
CD,2016,1760557
CD,2016,902223
CD,2016,939322
CD,2016,1310131
CD,2016,1013521
CD,2016,918362
CD,2016,1349392
CD,2016,950012
CD,2016,2405011
CD,2016,2349700
CD,2016,1496858
CD,2016,1200156
CD,2016,1704362
CD,2016,1845622
CD,2016,969505
CD,2016,928582
CD,2016,1299326
CD,2016,1037117
CD,2016,987111
CD,2016,1039696
CD,2016,950012
CD,2016,2704847
CD,2016,2467794
CD,2016,1496858
CD,2016,1308278
CD,2016,2088656
CD,2016,1767412
CD,2016,1013223
CD,2016,938676
CD,2016,1389714
CD,2016,1364627
CD,2016,987111
CD,2016,1772068
CD,2016,2897117
CD,2016,2372451
CD,2016,1675073
CD,2016,1044412
CD,2016,1784220
CD,2016,1905226
CD,2016,1057851
CD,2016,1643369
CD,2016,1664853
CD,2016,987111
CD,2016,1753416
CD,2016,3252449
CD,2016,2388862
CD,2016,1615249
CD,2016,1150390
CD,2016,1784220
CD,2016,2048631
CD,2016,1057851
CD,2016,1816060
CD,2016,1687490
CD,2016,987111
CD,2016,2350322
CD,2016,2686806
CD,2016,2408442
CD,2016,1630205
CD,2016,1087929
CD,2016,1784220
CD,2016,1946199
CD,2016,1057851
CD,2016,2079102
CD,2016,1687490
CD,2016,987111
CD,2016,1865335
CD,2016,3276018
CD,2016,2428023
CD,2016,1636386
CD,2016,1087929
CD,2016,1784220
CD,2016,2048631
CD,2016,1057851
CD,2016,1816060
CD,2016,2126237
CD,2016,987111
CD,2016,1842594
CD,2016,2663237
CD,2016,2447604
CD,2016,1646544
CD,2016,1087929
CD,2016,1980484
CD,2016,2048631
CD,2016,1057851
CD,2016,2099299
CD,2016,1873113
CD,2016,987111
CD,2016,1865335
CD,2016,3299586
CD,2016,2193054
CD,2016,1661513
CD,2016,1143451
CD,2016,1784220
CD,2016,2048630
CD,2016,1057852
CD,2016,2065977
CD,2016,1889988
CD,2016,987111
CD,2016,1842594
CD,2016,3299586
CD,2016,2467185
CD,2016,1496859
CD,2016,1087929
CD,2016,1784220
CD,2016,2048631
CD,2016,1057851
CD,2016,2232588
CD,2016,2261237
CD,2016,987111
CD,2016,1865335
CD,2016,2733943
CD,2016,2245136
CD,2016,1676482
CD,2016,1174963
CD,2016,1784220
CD,2016,2335439
CD,2016,1142479
CD,2016,1916027
CD,2016,2261236
CD,2016,1066080
CD,2016,1865335
CD,2016,2828217
CD,2016,2251796
CD,2016,1691450
CD,2016,1087929
CD,2016,1784220
CD,2016,2048631
CD,2016,1057851
CD,2016,2232588
CD,2016,1889988
CD,2016,1075951
CD,2016,1865335
CD,2016,3605977
CD,2016,2604251
CD,2016,1708995
CD,2016,2087616
CD,2016,1057851
CD,2016,2232588
CD,2016,1906863
CD,2016,1075951
CD,2016,2890745
CD,2016,2017190
CD,2016,3079338
CD,2016,2946662
CD,2016,1333188
CD,2016,1133936
CD,2016,1793443
CD,2016,2176487
CD,2016,1181075
CD,2016,2235594
CD,2016,2099255
CD,2016,1892956
CD,2016,4398712
CD,2016,2946662
CD,2016,2142427
CD,2016,1856637
CD,2016,2373969
CD,2016,1476344
CD,2016,2622063
CD,2016,2417137
CD,2016,2401885
CD,2016,4841747
CD,2016,2975272
CD,2016,2460778
CD,2016,2274814
CD,2016,2373970
CD,2016,1454472
CD,2016,2638724
CD,2016,2792209
CD,2016,2805402
CD,2016,4430357
CD,2016,3778595
CD,2016,2139807
CD,2016,1864602
CD,2016,2700662
CD,2016,1454472
CD,2016,2249951
CD,2016,2875559
CD,2016,2805402
CD,2016,4841747
CD,2016,3986864
CD,2016,2139806
CD,2016,1864602
CD,2016,2417529
CD,2016,1312306
CD,2016,3222512
CD,2016,2838070
CD,2016,2920692
CD,2016,4936684
CD,2016,3954863
CD,2016,2139806
CD,2016,1957832
CD,2016,2439308
CD,2016,1093588
CD,2016,3245864
CD,2016,1998641
CD,2016,2920692
CD,2016,5126556
CD,2016,3957112
CD,2016,2375186
CD,2016,2461274
CD,2016,2461088
CD,2016,1345113
CD,2016,2778833
CD,2016,2938071
CD,2016,2909731
CD,2016,4905038
CD,2016,4046370
CD,2016,2396583
CD,2016,1864602
CD,2016,2482868
CD,2016,1356049
CD,2016,2802184
CD,2016,2917234
CD,2016,2978337
CD,2016,3164541
CD,2016,4105876
CD,2016,2417982
CD,2016,2125646
CD,2016,2504647
CD,2016,1476344
CD,2016,2755481
CD,2016,2583836
CD,2016,2959122
CD,2016,4493648
CD,2016,4135628
CD,2016,2439379
CD,2016,2032416
CD,2016,2700662
CD,2016,1443536
CD,2016,3245864
CD,2016,8917118
CD,2016,2604673
CD,2016,2651681
CD,2016,2139807
CD,2016,2069708
CD,2016,2395749
CD,2016,1487280
CD,2016,2848887
CD,2016,3590523
CD,2016,6682803
CD,2016,5317500
CD,2016,3075644
CD,2016,3637826
CD,2016,4570748
CD,2016,3441763
CD,2016,6682803
CD,2016,5366284
CD,2016,3041087
CD,2016,3357994
CD,2016,4479332
CD,2016,3469298
CD,2016,6742470
CD,2016,5317500
CD,2016,3075644
CD,2016,3392972
CD,2016,5210652
CD,2016,3717104
CD,2016,5966788
CD,2016,5463853
CD,2016,3455780
CD,2016,3788105
CD,2016,5256360
CD,2016,3662036
CD,2016,5966788
CD,2016,5463853
CD,2016,3179318
CD,2016,3327610
CD,2016,4616455
CD,2016,3689570
CD,2016,5966788
CD,2016,5512637
CD,2016,3248433
CD,2016,3952638
CD,2016,5439189
CD,2016,3717104
CD,2016,5966788
CD,2016,5561422
CD,2016,3594012
CD,2016,3952638
CD,2016,5210652
CD,2016,3193957
CD,2016,6742470
CD,2016,5844696
CD,2016,3317549
CD,2016,3952638
CD,2016,4799285
CD,2016,3276558
CD,2016,6742470
CD,2016,5415068
CD,2016,3386665
CD,2016,3987617
CD,2016,4707870
CD,2016,3304093
CD,2016,6802139
CD,2016,5805344
CD,2016,3594012
CD,2016,3327610
CD,2016,4799285
CD,2016,7995496
CD,2016,6049266
CD,2016,3970290
CD,2016,3330963
CD,2016,4397618
CD,2016,4348209
CD,2016,11836665
CD,2016,9313471
CD,2016,4595690
CD,2016,8949011
CD,2016,8610054
CD,2016,8538161
CD,2016,6250251
CD,2016,6728579
CD,2016,8763376
CD,2016,10672701
CD,2016,5682046
CD,2016,9150868
CD,2016,35346458
E,0,0
RL,0,645463
E,0,0
C,1976,6360480
E,0,0
C,1899,8367385
C,,13629909
C,1987,357789600
C,,5143106
RC,1899,5964669
C,1899,15025500
C,1934,10606680
C,1934,9849420
C,1899,22979880
C,1899,14401800
E,1899,0
C,0,2242800
CM,1901,0
CC,0,6218100
E,0,0
C,1920,9967860
E,1953,0
C,1899,12704580
C,1899,28949027
C,,27144540
C,,14119935
C,1899,76395060
CM,1910,0
CC,0,2887920
CD,0,937750
CD,1910,897508
CD,1910,909769
CD,1910,1127124
C,1900,10422720
CM,0,0
CC,0,3255840
CC,0,938700
CD,1910,1119474
CC,0,922320
CD,1910,1131840
C,1910,12069540
CM,1899,0
CC,0,11012400
E,0,0
C,1965,159883920
C,0,0
C,1982,9740972
C,,4532646
C,1899,6909840
C,1899,25698960
C,1899,11825100
C,,2576362
CM,1923,0
CC,0,7567560
CC,0,54804960
CL,0,209735737
C,2002,585621623
C,1910,71028720
CM,1999,0
CC,0,6008940
CC,0,10194660
CC,0,6229440
CC,0,1984500
CC,0,1687140
CC,0,636300
CC,0,695520
CC,0,1968120
CC,0,1670760
CC,0,994140
CC,0,573300
C,1908,58945320
C,1908,81833220
CM,1920,0
CC,0,93240
CC,0,25200
CC,0,51660
CC,0,25200
CC,0,25200
CC,0,22680
CC,0,91980
CC,0,3098340
CC,0,1188180
CC,0,1936620
CC,0,1481760
CC,0,961380
CC,0,1416240
CC,0,1236060
CC,0,602280
CC,0,1260000
CC,0,704340
CC,0,875700
CC,0,1150380
CC,0,539280
CC,0,608580
CC,0,490140
CC,0,598500
CC,0,737100
E,0,0
CC,0,1267560
CC,0,1314180
CC,0,621180
CC,0,603540
CC,0,677880
CC,0,1260000
CC,0,585900
CC,0,534240
CC,0,1238580
CC,0,825300
CC,0,951300
CC,0,1689660
CC,0,640080
CC,0,1911420
E,0,0
C,1900,88618320
C,1976,1253391300
C,1966,54153540
C,1910,57975120
C,1910,40706820
C,1910,58390920
C,1899,48544020
C,1910,312238080
E,0,0
E,1899,0
E,1972,0
E,1899,0
E,1899,0
E,1899,0
E,1956,0
RC,1899,12454993
RC,1899,5733436
RC,1899,9181473
CM,1999,0
CC,0,1348200
CD,1899,2484704
CD,1899,2578709
CD,1899,2532178
CC,0,1585080
E,0,0
CD,1899,4954525
C,0,2376360
E,1899,0
CM,1999,0
E,1900,0
C,0,8479800
E,1890,0
E,1913,0
C,1899,11333700
C,1910,54230400
C,1927,310950360
C,2001,142642080
E,1900,0
C,1924,33091380
CM,2007,0
CD,2007,1585414
CD,2007,1470868
CD,2007,1581537
CD,2007,1581537
CD,2007,1501994
CD,2007,2447604
CD,2007,2018553
CD,2007,1903587
CD,2007,1859047
CD,2007,1053764
CD,2007,1184869
CD,2007,1352235
CD,2007,1761793
CD,2007,1124609
CD,2007,1206562
CD,2007,1367430
CD,2007,876652
CD,2007,1990257
CD,2007,1694616
CD,2007,1637081
CD,2007,1169044
CD,2007,1191786
CD,2007,1352339
CD,2007,1812202
CD,2007,1532386
CD,2007,1613606
CD,2007,1183821
CD,2007,777302
CD,2007,806122
CD,2007,1046009
CD,2007,1795643
CD,2007,1179839
CD,2007,1608051
CD,2007,1551984
CD,2007,592015
CD,2007,847727
CD,2007,1062253
CD,2007,1773216
CD,2007,1181096
CD,2007,1334628
CD,2007,1552612
CD,2007,640223
CD,2007,876757
CD,2007,1106269
CD,2007,1816498
CD,2007,1253513
CD,2007,1559215
CD,2007,1554079
CD,2007,1825197
CD,2007,522009
CD,2007,963007
CD,2007,1193043
CD,2007,1794910
CD,2007,1616226
CD,2007,1481767
CD,2007,1501889
CD,2007,1826140
CD,2007,624503
CD,2007,935026
CD,2007,1193043
CD,2007,1843746
CD,2007,1545695
CD,2007,1637395
CD,2007,1591808
CD,2007,1852340
CD,2007,669672
CD,2007,1256238
CD,2007,1328340
CD,2007,1821320
CD,2007,1551564
CD,2007,1626077
CD,2007,1594008
CD,2007,1491514
CD,2007,669358
CD,2007,1256238
CD,2007,1324358
CD,2007,1840079
CD,2007,1514674
CD,2007,1718196
CD,2007,1601764
CD,2007,1664853
CD,2007,669358
CD,2007,1256238
CD,2007,1431044
CD,2007,1848777
CD,2007,1297005
CD,2007,1709393
CD,2007,1619894
CD,2007,1885981
CD,2007,669358
CD,2007,1045380
CD,2007,4536792
CD,2007,1829704
CD,2007,1764937
CD,2007,3021384
CD,2007,1355588
CD,2007,2282335
CD,2007,1556280
CD,2007,1805704
CD,2007,1756658
CD,2007,3082273
CD,2007,1169044
CD,2007,2278457
CD,2007,1556595
CD,2007,1560996
CD,2007,1757287
CD,2007,3074728
CD,2007,1355064
CD,2007,2398663
CD,2007,1556909
CD,2007,1866383
CD,2007,1757706
CD,2007,3345007
CD,2007,1357579
CD,2007,2369214
CD,2007,2725744
CD,2007,2903589
CD,2007,5625350
CD,2007,1120102
CD,2007,4387138
CD,2007,4713066
CD,2007,3085207
CD,2007,5236961
CD,2007,2726791
CD,2007,2503358
CD,2007,3083531
CD,2007,2721132
CD,2007,2659510
CD,2007,3082378
CD,2007,4459450
CD,2007,4193677
CD,2007,4466681
CD,2007,4242618
CD,2007,5027361
CD,2007,4335262
CD,2007,5642746
CD,2007,5993303
CC,2007,907200
CC,2007,3456180
CC,2007,162540
CC,0,20297340
CC,2007,4853520
C,1899,6395760
C,1899,3189060
C,1910,11328660
C,1910,2315880
C,1899,64917720
C,1899,99213660
CM,1999,0
CC,0,4296600
CC,0,6771240
CC,0,14695380
CC,0,8382780
CC,0,172620
CC,0,47880
CC,0,985320
CC,0,293580
CC,0,10080
CC,0,8820
CC,0,1074780
CC,0,1838340
CC,0,669060
CC,0,1504440
CC,0,1471680
CC,0,3705660
CC,0,768600
CC,0,656460
CC,0,340200
CC,0,658980
CC,0,354060
CC,0,312480
CC,0,212940
CC,0,190260
CC,0,294840
CC,0,292320
CC,0,175140
CC,0,704340
CC,0,813960
CC,0,313740
CC,0,311220
CC,0,264600
CC,0,220500
CC,0,338940
CC,0,1062180
CC,0,282240
CC,0,286020
CC,0,283500
CC,0,286020
CC,0,288540
CC,0,308700
